Ciência da Computação,"MA141,MC102,F 128,MA111,MC202,F 129,MA211,MA327,MC009,MA311,MC322,MC358,ME323,MC458,MC536,MC602,F 328,F 329,MC558,MC404,MC426,MC504,MC750,MS211,MC735,MC832,CE839,MC714,MC833,MC921,CE738,CE304"
Engenharia da Computação,"QG111,F 128,QG122. F 129,HZ291,MA111,MA141,MC102,MA327,MC202,F 228,F 229,LA122,MA211,MC322,EA513,F 315,F 328,F 329,MA311,MC404,EA614,EA772,F 428,F 429,MC358,ME323,EA550,EA773,EE400,EE533,MC458,EA551,EA701,EA960,EE534,EM423,MS211,EA074,EA616,EA619,EA801,EA979,BE310,EA072,EA080,EA721,EA722,EG950,CE304,CE838,EA018,EA044,EA202,CE738,EA019"
